Feature,FeatureImportance,WordCloud
Excessive workload,0.06,priority adequate mds number volume one need patient staff  even evaluating everyone everything exacerbated exact etc epic entire excessive exhausting entails evening expectation enact fairly fellow feels feeling feel far fall fair expectations factor extremely extreme external extending expected
Time pressure,0.054,afterwards writing pressured end notes home days constantly always feel clinic time emr eat ed education efficiently examine em emergencies emergency exactly every evolving enough ensure easily everything especially everyone etc even eric due duties difficult decompress decreased deeper delays
Interruptions and distractions ,0.042,complicated worflow need major help oncology mds radiation issue extreme facility extremely experts families expecting expect excessive everywhere faculty yes family far every file fine floor focus free frustrated game ganey feel etc events even document documentation done dont drop
Lack of support for research,0.037,adequate staffing  help faculty find flip free fully get getting give grace growth head helping enjoyed hires hours interest involved job july know lack like lms locations maintaining example duties makes busy 2022 2023 acclimate activities additional allow apply
Work life integration,0.034,unneccessary takes conversation spent elsewhere time could away meetings much facilities expected explicit flight flexibility extra extremely fire feeling fight faculty filled falling expectation figure family feel facility exhausted forget employer dramatically dread due duties easy effects efficient either employed
Values and expectations,0.03,rather like would working everyone important administration highest support focus level tasks many  extra feel establish etc follow even films examine feeling excellence extreme excellent excused executes expansions expected experience families epic emergency environment enough discipline distracting division doctor
Clinical position,0.03,Nurses Non-clinician Physician Resident Prefer not to disclose Pharmacist Therapist Physicist
Patient factors,0.03,change cannot administration like understand would  25 generate everyday everyone everything excessive expect expectations expected experience explain extremely families family fast fault feel felt fewer fight finalizing find fine finished floor every even etc ed department didnt difficult discriminatory
Lack of dedicated time,0.029,workflows adequate would staffing time even enough entirely equipment essentially zoom except encouraged expected extra fear feel engage educational eight fine education due dont done division difficult development department dedicated decided day find funding finish hour later joke job interview
Gender,0.029,Male Female Non-binary Transgender male Transgender female Prefer to self-describe Prefer not to disclose
Professional relationships,0.025,point wed social etc event lunch could tired time better see department staffing  faculty even expense expections failure experiences excuse exceptionally everything everyone every fairly extent facetoface families fact envrionment epic far disciplines disrespected division doctor doctors dogs done
Administrative burden,0.025,billing decent focused amount part charge issues know treating job patients  also expedite faculty faster fax figure figuring fill filling finding fix fly focus administrative academic following absent extraordinary expectations followups expect done dont don‚äôt double duties else ends
Marital status,0.024,Single Married Divorced Separated Widowed Other Prefer not to disclose
Intrinsic motivation,0.02,happens it‚äôs jjust interests instead anything service needs lip carve done night priority sometimes space charts checking 9 like pursuing pm get balance worklife job still always work feel see happy granted exhaustion extremely factors falling given give family find
Moral distress,0.018,good actually members though stressful center face time cancer family even  patients feel covid aware dealing precautions phone think getting talk calling normalized contributor oddly oncology etc changed handled situations past everyone scared consults safe found knew went ways
Inadequate staffing,0.015,allow stagger sim overtime eliminate per would lot therapist machine 3 us 2 therapists  fully fine fill first flow felt feel fashion follow following foresight fulfill full going function get gets getting go familiar good grads great group gt
Extrinsic motivation,0.011,need rate admin respected market paid feel staff  keep grade extra extreme extremely facilities later families last feeling feels felt finally financial financially form frustration full fully get getting go going extensive experienced experience evaluate education efforts either elimination
Physical work environment,0.009,lack desks printers set ergonomic etc computers  log full feet find fixed floor food form lots fridge fridges fundoscopes locker furniture lost furthermore future generally gets getting given go feeling feel faculty facility dont door machines easy eat ed
Organizational culture,0.004,leadership need  vice progress competition help center cancer inherent versa entities md rex makes rad strong onc difficult getting admin unc support giving function general gets machines great going gone governance grossly group hadnt hands happened full level frustrations
