Feature,Feature-Importance
Professional Relationships,0.06
Administrative burden,0.054
Instrinsic motivation,0.042
Excessive workload,0.037
Race ,0.034
Inadequate staffing,0.03
Values and expectations,0.03
Lack of support for research,0.03
Moral distress,0.029
Time pressure,0.029
Organizational culture,0.025
Marital status,0.025
Unmanageable work schedules,0.024
Physical work enviroment,0.02
Inefficient workflows,0.018
Lack of recognition for QI activites ,0.015
Job control,0.011
Inadequate technology,0.009
Work life integration,0.004
Lack if dedicated time,0.003
